,date,season,neutral,playoff,home_team,away_team,home_elo_prob,away_elo_prob,home_carm-elo_prob,away_carm-elo_prob,home_raptor_prob,away_raptor_prob,home_score,away_score,home_ml,away_ml
176,2007-11-23,2008,0,,UTA,NOP,0.7050899731106207,0.2949100268893793,,,,,99.0,71.0,-300,250
177,2007-11-23,2008,0,,IND,DAL,0.3223938954908831,0.6776061045091168,,,,,111.0,107.0,280,-340
178,2007-11-23,2008,0,,SEA,NJN,0.5663267833572786,0.4336732166427214,,,,,93.0,98.0,140,-160
179,2007-11-23,2008,0,,POR,SAC,0.6124794314619866,0.3875205685380134,,,,,87.0,84.0,-200,170
180,2007-11-24,2008,0,,CLE,TOR,0.6736997602940528,0.3263002397059472,,,,,111.0,108.0,-200,170
181,2007-11-24,2008,0,,MEM,WAS,0.5727722415969525,0.4272277584030475,,,,,124.0,118.0,-230,190
182,2007-11-24,2008,0,,MIN,ATL,0.5570011539711948,0.4429988460288052,,,,,87.0,94.0,165,-195
183,2007-11-24,2008,0,,NYK,CHI,0.445758874348761,0.554241125651239,,,,,85.0,78.0,120,-140
184,2007-11-24,2008,0,,HOU,DEN,0.5846065317060691,0.4153934682939308,,,,,109.0,81.0,-250,210
185,2007-11-24,2008,0,,MIL,DAL,0.3355404064156516,0.6644595935843484,,,,,97.0,95.0,155,-175
186,2007-11-24,2008,0,,LAC,NOP,0.6208443764780199,0.37915562352198,,,,,89.0,98.0,130,-150
187,2007-11-24,2008,0,,CHO,BOS,0.5328363203699251,0.4671636796300749,,,,,95.0,96.0,280,-330
188,2007-11-24,2008,0,,PHI,GSW,0.4966577036094318,0.5033422963905683,,,,,98.0,100.0,145,-165
189,2007-11-24,2008,0,,ORL,MIA,0.787013459391025,0.212986540608975,,,,,120.0,99.0,-275,235
190,2007-11-25,2008,0,,SEA,SAS,0.2361481862026208,0.7638518137973792,,,,,101.0,116.0,475,-600
191,2007-11-25,2008,0,,TOR,CHI,0.680789659903093,0.3192103400969069,,,,,93.0,78.0,-205,175
192,2007-11-25,2008,0,,LAL,NJN,0.7353789249960053,0.2646210750039947,,,,,100.0,102.0,-290,240
193,2007-11-25,2008,0,,IND,CLE,0.449695655260917,0.550304344739083,,,,,106.0,111.0,-130,110
194,2007-11-25,2008,0,,DET,UTA,0.6598550410886326,0.3401449589113674,,,,,93.0,103.0,100,-120
195,2007-11-26,2008,0,,DAL,WAS,0.8447539735080893,0.1552460264919106,,,,,98.0,110.0,-1100,750
196,2007-11-26,2008,0,,SAC,SAS,0.2752974963050135,0.7247025036949866,,,,,112.0,99.0,220,-260
197,2007-11-26,2008,0,,NOP,MIN,0.8607535663894219,0.1392464336105781,,,,,94.0,103.0,-800,600
198,2007-11-26,2008,0,,NYK,UTA,0.3254656051023008,0.6745343948976992,,,,,113.0,109.0,200,-240
199,2007-11-26,2008,0,,LAC,HOU,0.558861085630953,0.4411389143690469,,,,,71.0,88.0,235,-275
200,2007-11-26,2008,0,,GSW,PHO,0.4894915418978128,0.5105084581021871,,,,,129.0,114.0,170,-200
201,2007-11-26,2008,0,,POR,ORL,0.41524753397759,0.5847524660224099,,,,,74.0,85.0,185,-215
202,2007-11-27,2008,0,,CHI,ATL,0.7560545885730791,0.2439454114269209,,,,,90.0,78.0,-230,190
203,2007-11-27,2008,0,,CLE,BOS,0.7022815453219009,0.2977184546780991,,,,,109.0,104.0,145,-165
204,2007-11-27,2008,0,,MIA,CHO,0.6345548685216955,0.3654451314783045,,,,,110.0,90.0,-365,305
205,2007-11-27,2008,0,,LAL,SEA,0.8037573290939554,0.1962426709060446,,,,,106.0,99.0,-900,650
206,2007-11-27,2008,0,,MIL,PHI,0.6294866964922148,0.3705133035077852,,,,,99.0,114.0,-265,225
207,2007-11-27,2008,0,,NJN,MEM,0.7144022349503865,0.2855977650496135,,,,,103.0,110.0,-240,200
208,2007-11-27,2008,0,,DEN,IND,0.7954607139622099,0.2045392860377901,,,,,110.0,112.0,-355,295
209,2007-11-28,2008,0,,PHI,UTA,0.4357709031560651,0.5642290968439349,,,,,95.0,106.0,220,-260
210,2007-11-28,2008,0,,TOR,MEM,0.7843827377466163,0.2156172622533837,,,,,103.0,91.0,-300,250
211,2007-11-28,2008,0,,SAC,GSW,0.4752032411821947,0.5247967588178053,,,,,96.0,103.0,105,-125
212,2007-11-28,2008,0,,SEA,ORL,0.3528796201759885,0.6471203798240115,,,,,94.0,110.0,315,-375
213,2007-11-28,2008,0,,SAS,WAS,0.8545349731122542,0.1454650268877457,,,,,109.0,94.0,-1100,750
214,2007-11-28,2008,0,,DAL,MIN,0.8924586789026931,0.1075413210973068,,,,,109.0,103.0,-1700,1050
215,2007-11-28,2008,0,,PHO,HOU,0.7297596945447848,0.2702403054552151,,,,,94.0,100.0,-190,160
216,2007-11-28,2008,0,,ATL,MIL,0.615476315397111,0.384523684602889,,,,,96.0,80.0,-170,150
217,2007-11-28,2008,0,,DET,CLE,0.6647229003668388,0.3352770996331612,,,,,109.0,74.0,-400,330
218,2007-11-28,2008,0,,POR,IND,0.5991728525328047,0.4008271474671953,,,,,89.0,95.0,-190,160
219,2007-11-29,2008,0,,LAL,DEN,0.6061347403612191,0.3938652596387809,,,,,127.0,99.0,-230,190
220,2007-11-29,2008,0,,BOS,NYK,0.7865639450183062,0.2134360549816938,,,,,104.0,59.0,-1000,700
221,2007-11-29,2008,0,,GSW,HOU,0.6236181100172924,0.3763818899827076,,,,,113.0,94.0,110,-130
222,2007-11-30,2008,0,,NYK,MIL,0.6148754775161391,0.3851245224838608,,,,,91.0,88.0,100,-120
223,2007-11-30,2008,0,,PHO,ORL,0.6903834722584113,0.3096165277415886,,,,,110.0,106.0,-230,190
224,2007-11-30,2008,0,,UTA,LAL,0.7245887911129387,0.2754112088870613,,,,,120.0,96.0,-230,190
225,2007-11-30,2008,0,,MIN,SAS,0.2037654389820601,0.7962345610179398,,,,,91.0,106.0,475,-600
226,2007-11-30,2008,0,,PHI,WAS,0.6188220445055399,0.3811779554944601,,,,,85.0,84.0,-145,125
227,2007-11-30,2008,0,,TOR,CLE,0.6193311044991955,0.3806688955008045,,,,,91.0,82.0,-275,235
228,2007-11-30,2008,0,,ATL,NOP,0.4867914162802791,0.5132085837197209,,,,,86.0,92.0,100,-120
229,2007-11-30,2008,0,,DAL,POR,0.8597975915291872,0.1402024084708127,,,,,91.0,80.0,-1300,850
230,2007-11-30,2008,0,,SEA,IND,0.532269419452311,0.467730580547689,,,,,95.0,93.0,105,-125
231,2007-11-30,2008,0,,MIA,BOS,0.5203288167370039,0.479671183262996,,,,,85.0,95.0,125,-145
232,2007-11-30,2008,0,,DEN,LAC,0.7135510194571595,0.2864489805428405,,,,,123.0,107.0,-500,400
233,2007-12-01,2008,0,,NJN,PHI,0.6393939426297226,0.3606060573702774,,,,,94.0,92.0,-350,290
